"year_p_name","year_p_year","year_p_Tm","year_p_Pk","year_p_Rk","year_p_college","year_p_Yrs","year_p_G","year_p_MP","year_p_PTS","year_p_TRB","year_p_AST","year_p_FG","year_p__3P","year_p_FT","year_p_MP_PG","year_p_PTS_PG","year_p_TRB_PG","year_p_AST_PG","year_p_WS_ADV","year_p_WS48_ADV","year_p_BPM_ADV","year_p_VORP_ADV"
"Terry Benton","1972","DET","84","84","Wichita State","","","","","","","","","","","","","","","","",""
"John Glover","1972","PHI","85","85","Wiley College","","","","","","","","","","","","","","","","",""
"Jerry Crocker","1972","KCO","86","86","Guilford College","","","","","","","","","","","","","","","","",""
"Mike Collins","1972","HOU","87","87","Seattle University","","","","","","","","","","","","","","","","",""
"Randy Noll","1972","ATL","88","88","Marshall","","","","","","","","","","","","","","","","",""
"Dwaine Dillard","1972","BAL","89","89","Eastern Michigan","","","","","","","","","","","","","","","","",""
"Ronald Thomas","1972","SEA","90","90","Louisville","","","","","","","","","","","","","","","","",""
"Greg Cleuss","1972","NYK","91","91","St. John's","","","","","","","","","","","","","","","","",""
"Charles Edge","1972","PHO","92","92","LeMoyne-Owen College","","","","","","","","","","","","","","","","",""
"Henry Bacon","1972","GSW","93","93","Louisville","","","","","","","","","","","","","","","","",""
"Doug Holcomb","1972","BOS","94","94","Memphis","","","","","","","","","","","","","","","","",""
"Mike Stewart","1972","CHI","95","95","Santa Clara","","","","","","","","","","","","","","","","",""
"Wally Wright","1972","BOS","96","96","Widener University","","","","","","","","","","","","","","","","",""
"Sam Simmons","1972","LAL","97","97","Bradley","","","","","","","","","","","","","","","","",""
"Bob Lynn","1972","POR","98","98","Cal State Long Beach","","","","","","","","","","","","","","","","",""
"Greg Kohls","1972","BUF","99","99","Syracuse","","","","","","","","","","","","","","","","",""
"Steve Davidson","1972","CLE","100","100","West Texas A&M University","","","","","","","","","","","","","","","","",""
"Bruce Anderson","1972","DET","101","101","Arizona","","","","","","","","","","","","","","","","",""
"Mike Sneed","1972","KCO","102","102","Fayetteville State University","","","","","","","","","","","","","","","","",""
"Curtis Pritchett","1972","PHI","103","103","Saint Augustine's College","","","","","","","","","","","","","","","","",""
"Mike Jackson","1972","HOU","104","104","California State University, Los Angeles","","","","","","","","","","","","","","","","",""
"Billy Pleas","1972","ATL","105","105","Detroit Mercy","","","","","","","","","","","","","","","","",""
"Marvin Brown","1972","BAL","106","106","Jackson State University","","","","","","","","","","","","","","","","",""
"Jerry Dunn","1972","SEA","107","107","Western Kentucky","","","","","","","","","","","","","","","","",""
"Tracy Tripucka","1972","NYK","108","108","Lafayette College","","","","","","","","","","","","","","","","",""
"Bernie Fryer","1972","PHO","109","109","BYU","1","111","2106","686","205","331",".457","",".787","19.0","6.2","1.8","3.0","2.0",".046","-1.9","0.1"
"William Franklin","1972","GSW","110","110","Purdue","","","","","","","","","","","","","","","","",""
"Stephen Previs","1972","BOS","111","111","UNC","","","","","","","","","","","","","","","","",""
"Jerry Pender","1972","CHI","112","112","Fresno State","","","","","","","","","","","","","","","","",""
"Mickey Davis","1972","MIL","113","113","Duquesne","5","286","3711","1478","800","295",".458","",".842","13.0","5.2","2.8","1.0","8.9",".115","-0.1","1.3"
"Ruben Vance","1972","POR","114","114","Kent State University","","","","","","","","","","","","","","","","",""
"Andy Denny","1972","BUF","115","115","University of South Alabama","","","","","","","","","","","","","","","","",""
"Roger Evans","1972","CLE","116","116","Kent State University","","","","","","","","","","","","","","","","",""
"Ben Kelso","1972","DET","117","117","Central Michigan University","1","46","298","85","31","18",".365","",".682","6.5","1.8","0.7","0.4","0.0",".000","-4.9","-0.2"
"Jim Kopp","1972","PHI","118","118","Rockhurst University","","","","","","","","","","","","","","","","",""
"Jerry Clack","1972","KCO","119","119","Oklahoma State","","","","","","","","","","","","","","","","",""
"Henry Harris","1972","HOU","120","120","Auburn","","","","","","","","","","","","","","","","",""
"Oscar Evans","1972","ATL","121","121","Butler","","","","","","","","","","","","","","","","",""
"Jim Floyd","1972","BAL","122","122","Shaw","","","","","","","","","","","","","","","","",""
"Willy Stoudamire","1972","SEA","123","123","Portland State","","","","","","","","","","","","","","","","",""
"Tom Corde","1972","NYK","124","124","Ohio University","","","","","","","","","","","","","","","","",""
"Russell Golden","1972","PHO","125","125","Jackson State University","","","","","","","","","","","","","","","","",""
"John Burks","1972","GSW","126","126","San Francisco","","","","","","","","","","","","","","","","",""
"Sam McCarney","1972","BOS","127","127","Oral Roberts","","","","","","","","","","","","","","","","",""
"Cavin Anderson","1972","CHI","128","128","Valley City State University","","","","","","","","","","","","","","","","",""
"Charles Kirkland","1972","MIL","129","129","Cheyney (PA)","","","","","","","","","","","","","","","","",""
"Scott McCandlish","1972","POR","130","130","Virginia","","","","","","","","","","","","","","","","",""
"John Collins","1972","BUF","131","131","State University of New York at Brockport","","","","","","","","","","","","","","","","",""
"Greg Starrick","1972","CLE","132","132","Southern Illinois","","","","","","","","","","","","","","","","",""
"Kessie Mangam","1972","DET","133","133","Ferris State University","","","","","","","","","","","","","","","","",""
"Steve McMahon","1972","KCO","134","134","Merrimack College","","","","","","","","","","","","","","","","",""
"Rod Murray","1972","PHI","135","135","UCLA","","","","","","","","","","","","","","","","",""
"Larry Strozier","1972","ATL","136","136","Morehouse College","","","","","","","","","","","","","","","","",""
"Ruppert Breedlove","1972","BAL","137","137","Oglethorpe University","","","","","","","","","","","","","","","","",""
"Dwight Holliday","1972","SEA","138","138","Hawaii","","","","","","","","","","","","","","","","",""
"Tom Sullivan","1972","NYK","139","139","Fordham","","","","","","","","","","","","","","","","",""
"Bill Kennedy","1972","PHO","140","140","Arizona","","","","","","","","","","","","","","","","",""
"Bill Duey","1972","GSW","141","141","California","","","","","","","","","","","","","","","","",""
"Ralph Houston","1972","CHI","142","142","West Texas A&M University","","","","","","","","","","","","","","","","",""
"Jim Regenold","1972","MIL","143","143","Ball State University","","","","","","","","","","","","","","","","",""
"Kresimir Cosic","1972","POR","144","144","BYU","","","","","","","","","","","","","","","","",""
"Kent Martens","1972","CLE","145","145","Abilene Christian University","","","","","","","","","","","","","","","","",""
"Kent Hollenbeck","1972","DET","146","146","Kentucky","","","","","","","","","","","","","","","","",""
"Gary Watson","1972","PHI","147","147","Wisconsin","","","","","","","","","","","","","","","","",""
"David Hall","1972","KCO","148","148","Kansas State","","","","","","","","","","","","","","","","",""
"Jim Clesson","1972","ATL","149","149","Tulsa","","","","","","","","","","","","","","","","",""
"Will Loftin","1972","BAL","150","150","LA-Lafayette","","","","","","","","","","","","","","","","",""
"Dan Stewart","1972","SEA","151","151","Washington State","","","","","","","","","","","","","","","","",""
"Richie Garner","1972","NYK","152","152","Manhattan College","","","","","","","","","","","","","","","","",""
"Al Vilcheck","1972","PHO","153","153","Louisville","","","","","","","","","","","","","","","","",""
"Marty Hunt","1972","BOS","154","154","Kenyon College","","","","","","","","","","","","","","","","",""
"Chuck Taylor","1972","CHI","155","155","West Liberty State College","","","","","","","","","","","","","","","","",""
"Jolly Spight","1972","MIL","156","156","Santa Clara","","","","","","","","","","","","","","","","",""
"Jimmy Wilkins","1972","POR","157","157","San Diego State","","","","","","","","","","","","","","","","",""
"Jim Prokell","1972","BUF","158","158","Edinboro University of Pennsylvania","","","","","","","","","","","","","","","","",""
"Floyd Mathew","1972","KCO","159","159","Northern Arizona University","","","","","","","","","","","","","","","","",""
"Charles Allen","1972","ATL","160","160","Texas Southern","","","","","","","","","","","","","","","","",""
"Marvin Watkins","1972","BAL","161","161","Jackson State University","","","","","","","","","","","","","","","","",""
"Steve Turner","1972","SEA","162","162","Vanderbilt","","","","","","","","","","","","","","","","",""
"Chic Downing","1972","NYK","163","163","Benedictine College","","","","","","","","","","","","","","","","",""
"John Belcher","1972","PHO","164","164","Arkansas State University","","","","","","","","","","","","","","","","",""
"Mark Minor","1972","BOS","165","165","Ohio State","1","4","20","5","4","2",".250","",".750","5.0","1.3","1.0","0.5","0.0",".081","",""
"Jackie Young","1972","CHI","166","166","Rocky Mountain College","","","","","","","","","","","","","","","","",""
"Frank Dewitt","1972","BUF","167","167","Virginia","","","","","","","","","","","","","","","","",""
"Len Baltimore","1972","KCO","168","168","George Washington","","","","","","","","","","","","","","","","",""
"James Green","1972","ATL","169","169","Paine College","","","","","","","","","","","","","","","","",""
"Lloyd Adams","1972","BAL","170","170","Rhode Island","","","","","","","","","","","","","","","","",""
"Gregg Daust","1972","SEA","171","171","Missouri-St. Louis","","","","","","","","","","","","","","","","",""
"Mark Soderberg","1972","PHO","172","172","Utah","","","","","","","","","","","","","","","","",""
"Phil Stephens","1972","BOS","173","173","South Carolina State","","","","","","","","","","","","","","","","",""
"Al Cotler","1972","CHI","174","174","Penn","","","","","","","","","","","","","","","","",""
"Larry Morris","1972","POR","175","175","Tulsa","","","","","","","","","","","","","","","","",""
"Kim Huband","1972","BUF","176","176","UNC","","","","","","","","","","","","","","","","",""
"Kent Scott","1972","KCO","177","177","Pitt","","","","","","","","","","","","","","","","",""
"Mike Krawzyk","1972","BAL","178","178","Loyola College in Maryland","","","","","","","","","","","","","","","","",""
"Kelly Utley","1972","PHO","179","179","Shaw","","","","","","","","","","","","","","","","",""
"Mike Barr","1972","CHI","180","180","Duquesne","1","73","1224","285","130","175",".437","",".719","16.8","3.9","1.8","2.4","1.4",".054","-0.7","0.4"
"Paul Kelley","1972","POR","181","181","Shaw","","","","","","","","","","","","","","","","",""
"Greg Corson","1972","BUF","182","182","UNC","","","","","","","","","","","","","","","","",""
"Bob Allen","1972","KCO","183","183","Missouri","","","","","","","","","","","","","","","","",""
"Aubrey Nash","1972","BAL","184","184","Kansas","","","","","","","","","","","","","","","","",""
"Cleveland Hill","1972","SEA","185","185","Nicholls State University","","","","","","","","","","","","","","","","",""
"Ray Golson","1972","PHO","186","186","West Texas A&M University","","","","","","","","","","","","","","","","",""
"Andrew Pettes","1972","CHI","187","187","Oklahoma","","","","","","","","","","","","","","","","",""
"Rich Haubeggar","1972","POR","188","188","Wake Forest","","","","","","","","","","","","","","","","",""
"Paul Hoffman","1972","BUF","189","189","St. Bonaventure","","","","","","","","","","","","","","","","",""
"Mike Jefferies","1972","KCO","190","190","Oklahoma State","","","","","","","","","","","","","","","","",""
"Gary Handleman","1972","BAL","191","191","Johns Hopkins University","","","","","","","","","","","","","","","","",""
"Greg Lowery","1972","CHI","192","192","Texas Tech","","","","","","","","","","","","","","","","",""
"Mose Adolph","1972","POR","193","193","California State University, Los Angeles","","","","","","","","","","","","","","","","",""
"Norman Bounds","1972","BUF","194","194","State University of New York at Brockport","","","","","","","","","","","","","","","","",""
"Mike Peterson","1972","KCO","195","195","Nebraska","","","","","","","","","","","","","","","","",""
"Charles Hall","1972","CHI","196","196","Montana-Western","","","","","","","","","","","","","","","","",""
"John Thornton","1972","CHI","197","197","South Carolina State","","","","","","","","","","","","","","","","",""
"Ron Manning","1972","CHI","198","198","Manhattan College","","","","","","","","","","","","","","","","",""
"Doug Collins","1973","PHI","1","1","Illinois State","8","415","13945","7427","1339","1368",".501",".000",".833","33.6","17.9","3.2","3.3","38.0",".131","0.4","8.4"
"Jim Brewer","1973","CLE","2","2","Minnesota","9","703","15936","4099","4458","1038",".448",".077",".571","22.7","5.8","6.3","1.5","29.3",".088","0.1","8.6"
"Ernie DiGregorio","1973","BUF","3","3","Providence","5","312","7859","2997","610","1594",".415","",".902","25.2","9.6","2.0","5.1","2.5",".016","-3.8","-3.6"
"Mike Green","1973","SEA","4","4","Louisiana Tech","4","245","5410","2062","1329","340",".460",".000",".707","22.1","8.4","5.4","1.4","10.9",".097","-0.5","2.1"
"Kermit Washington","1973","LAL","5","5","American University","10","507","12815","4666","4232","695",".526",".000",".656","25.3","9.2","8.3","1.4","36.0",".135","0.5","8.1"
"Ed Ratleff","1973","HOU","6","6","Cal State Long Beach","5","338","8433","2813","1363","896",".454","",".803","24.9","8.3","4.0","2.7","13.8",".078","0.5","5.4"
"Ron Behagen","1973","KCO","7","7","Minnesota","7","388","9131","3977","2712","624",".425","",".754","23.5","10.3","7.0","1.6","13.0",".068","-2.1","-0.2"
"Mike Bantom","1973","PHO","8","8","Saint Joseph's","9","706","19725","8568","4517","1623",".468",".200",".692","27.9","12.1","6.4","2.3","34.8",".085","-0.8","5.7"
"Dwight Jones","1973","ATL","9","9","Houston","10","766","16452","6230","4513","911",".471",".500",".740","21.5","8.1","5.9","1.2","27.6",".081","-1.6","1.6"
"John Brown","1973","ATL","10","10","Missouri","7","486","10108","3614","2126","703",".453","",".783","20.8","7.4","4.4","1.4","16.2",".077","-2.1","-0.4"
"Kevin Joyce","1973","GSW","11","11","South Carolina","","","","","","","","","","","","","","","","",""
"Kevin Kunnert","1973","CHI","12","12","Iowa","9","555","12104","4602","4031","784",".476","",".682","21.8","8.3","7.3","1.4","22.0",".087","-1.2","2.4"
"Nick Weatherspoon","1973","CAP","13","13","Illinois","7","453","9680","4086","2232","418",".455","",".713","21.4","9.0","4.9","0.9","15.2",".075","-2.1","-0.3"
"Mel Davis","1973","NYK","14","14","St. John's","4","190","2572","1008","816","164",".376","",".709","13.5","5.3","4.3","0.9","0.3",".006","-3.8","-1.3"
"Barry Parkhill","1973","POR","15","15","Virginia","","","","","","","","","","","","","","","","",""
"Swen Nater","1973","MIL","16","16","UCLA","8","489","13868","5943","5297","954",".537",".250",".760","28.4","12.2","10.8","2.0","36.9",".128","0.2","7.5"
"Steve Downing","1973","BOS","17","17","Indiana","2","27","146","64","41","11",".318","",".550","5.4","2.4","1.5","0.4","-0.2","-.060","-6.3","-0.2"
"Raymond Lewis","1973","PHI","18","18","California State University, Los Angeles","","","","","","","","","","","","","","","","",""
"Louie Nelson","1973","CAP","19","19","Washington","5","224","4947","2113","527","436",".437","",".738","22.1","9.4","2.4","1.9","6.4",".062","-1.7","0.3"
"Mike D'Antoni","1973","KCO","20","20","Marshall","3","130","1858","432","186","248",".392","",".736","14.3","3.3","1.4","1.9","0.9",".023","-1.2","0.3"
"Allan Bristow","1973","PHI","21","21","Virginia Tech","9","648","13277","5122","2613","2098",".460",".286",".798","20.5","7.9","4.0","3.2","22.7",".082","-0.2","6.2"
"George McGinnis","1973","PHI","22","22","Indiana","7","528","16194","9090","5177","1985",".448",".080",".651","30.7","17.2","9.8","3.8","36.2",".107","1.2","13.1"
"Billy Schaeffer","1973","LAL","23","23","St. John's","","","","","","","","","","","","","","","","",""
"Kevin Stacom","1973","CHI","24","24","Providence","6","347","4539","1781","511","524",".417",".500",".768","13.1","5.1","1.5","1.5","3.1",".032","-2.7","-0.8"
"Larry McNeill","1973","KCO","25","25","Marquette","6","297","5094","2533","1440","225",".466","",".779","17.2","8.5","4.8","0.8","13.4",".127","-0.9","1.5"
"Allan Hornyak","1973","CLE","26","26","Ohio State","","","","","","","","","","","","","","","","",""
"Tom Ingelsby","1973","ATL","27","27","Villanova","1","48","398","129","44","37",".382","",".784","8.3","2.7","0.9","0.8","0.1",".014","-3.4","-0.1"
"Patrick McFarland","1973","NYK","28","28","Saint Joseph's","","","","","","","","","","","","","","","","",""
"Derrek Dickey","1973","GSW","29","29","Cincinnati","5","321","5345","1962","1575","346",".470","",".745","16.7","6.1","4.9","1.1","11.1",".100","-1.3","0.9"
"Wendell Hudson","1973","CHI","30","30","Alabama","","","","","","","","","","","","","","","","",""
"Jim Chones","1973","LAL","31","31","Marquette","8","623","19125","7664","5196","1079",".468",".000",".704","30.7","12.3","8.3","1.7","37.4",".094","-0.9","5.1"
"Caldwell Jones","1973","PHI","32","32","Albany State University","14","1068","26474","6589","7663","1347",".473",".065",".753","24.8","6.2","7.2","1.3","44.3",".080","-1.5","3.7"
"Gary Melchionni","1973","PHO","33","33","Duke","2","137","2780","1074","329","298",".444","",".831","20.3","7.8","2.4","2.2","3.9",".067","-1.3","0.5"
"John Perry","1973","LAL","34","34","University of Texas-Pan American","","","","","","","","","","","","","","","","",""
"Phil Hankinson","1973","BOS","35","35","Penn","2","31","187","122","57","6",".491","",".769","6.0","3.9","1.8","0.2","0.6",".143","-1.8","0.1"
"Ted Manakas","1973","ATL","36","36","Princeton","1","5","45","12","3","2",".400","","1.000","9.0","2.4","0.6","0.4","0.0",".014","-4.1","0.0"
"Jim O'Brien","1973","CLE","37","37","Maryland","","","","","","","","","","","","","","","","",""
"Ken Charles","1973","BUF","38","38","Fordham","5","322","7637","2747","640","806",".441","",".789","23.7","8.5","2.0","2.5","9.8",".061","-1.0","2.0"
"Martin Terry","1973","CHI","39","39","Arkansas","","","","","","","","","","","","","","","","",""
"Ozzie Edwards","1973","CLE","40","40","Oklahoma City University","","","","","","","","","","","","","","","","",""
"James Lister","1973","CLE","41","41","Sam Houston State University","","","","","","","","","","","","","","","","",""
"Joe Reaves","1973","PHO","42","42","Bethel College","","7","38","16","8","1",".545","",".364","5.4","2.3","1.1","0.1","0.0","-.013","-4.3","0.0"
"Steve Mitchell","1973","PHO","43","43","Kansas State","","","","","","","","","","","","","","","","",""
"Bo Lamar","1973","DET","44","44","LA-Lafayette","1","71","1165","502","92","177",".406","",".676","16.4","7.1","1.3","2.5","0.5",".021","-2.7","-0.2"
"Leonard Gray","1973","ATL","45","45","Cal State Long Beach","3","224","6058","2408","1169","490",".469","",".739","27.0","10.8","5.2","2.2","9.9",".079","-1.4","0.9"
"Jim Retseck","1973","GSW","46","46","Auburn","","","","","","","","","","","","","","","","",""
"Steve Newsome","1973","CHI","47","47","Houston","","","","","","","","","","","","","","","","",""
"Tom Kozelko","1973","CAP","48","48","Toledo","3","189","1911","407","346","99",".419","",".745","10.1","2.2","1.8","0.5","2.4",".059","-2.5","-0.3"
"Allie McGuire","1973","NYK","49","49","Marquette","1","2","10","4","2","1",".500","","","5.0","2.0","1.0","0.5","0.0",".029","-4.5","0.0"
"Larry Kenon","1973","DET","50","50","Memphis","7","503","15517","8535","3942","1287",".489",".100",".798","30.8","17.0","7.8","2.6","36.5",".113","0.4","9.5"
"E.C. Coleman","1973","HOU","51","51","Houston Baptist University","6","357","9310","2553","2151","472",".464","",".694","26.1","7.2","6.0","1.3","12.8",".066","-2.0","0.0"
"Martinez Denmon","1973","BOS","52","52","Iowa State","","","","","","","","","","","","","","","","",""
"Darrel Minniefield","1973","PHI","53","53","New Mexico","","","","","","","","","","","","","","","","",""
"Doug Little","1973","BUF","54","54","Oregon","","","","","","","","","","","","","","","","",""
"William Averitt","1973","POR","55","55","Pepperdine","","","","","","","","","","","","","","","","",""
"June Harris","1973","SEA","56","56","North Carolina A&T","","","","","","","","","","","","","","","","",""
"Luke Witte","1973","CLE","57","57","Ohio State","3","118","1098","372","357","60",".402","",".685","9.3","3.2","3.0","0.5","1.2",".051","-3.0","-0.3"
"Lee Colburn","1973","HOU","58","58","South Dakota State","","","","","","","","","","","","","","","","",""
"Clyde Turner","1973","MIL","59","59","Minnesota","","","","","","","","","","","","","","","","",""
"Ronnie Robinson","1973","PHO","60","60","Memphis","","","","","","","","","","","","","","","","",""
"Ken Brady","1973","DET","61","61","Michigan","","","","","","","","","","","","","","","","",""
"James Brown","1973","ATL","62","62","Harvard University","","","","","","","","","","","","","","","","",""
"Ron King","1973","GSW","63","63","Florida State","","","","","","","","","","","","","","","","",""
"Mark Sibley","1973","CHI","64","64","Northwestern","1","28","124","46","25","13",".357","",".857","4.4","1.6","0.9","0.5","-0.2","-.065","-5.7","-0.2"
"Aaron Stewart","1973","CAP","65","65","Richmond","","","","","","","","","","","","","","","","",""
"George Karl","1973","NYK","66","66","UNC","2","33","281","85","22","51",".342","",".705","8.5","2.6","0.7","1.5","-0.2","-.038","-5.6","-0.3"
"Harry Rogers","1973","MIL","67","67","Saint Louis","","","","","","","","","","","","","","","","",""
"Larry Finch","1973","LAL","68","68","Memphis","","","","","","","","","","","","","","","","",""
"Richie Fuqua","1973","BOS","69","69","Oral Roberts","","","","","","","","","","","","","","","","",""
"Reggie Royals","1973","PHI","70","70","Florida State","","","","","","","","","","","","","","","","",""
"Fran Costello","1973","POR","71","71","Providence","","","","","","","","","","","","","","","","",""
"Randy Noll","1973","BUF","72","72","Marshall","","","","","","","","","","","","","","","","",""
"Chuck Iverson","1973","SEA","73","73","University of South Dakota","","","","","","","","","","","","","","","","",""
"John Coughran","1973","CLE","74","74","California","1","24","160","68","19","12",".358",".222",".571","6.7","2.8","0.8","0.5","-0.3","-.086","-6.5","-0.3"
"Gary Rhoades","1973","HOU","75","75","Colorado State","","","","","","","","","","","","","","","","",""
"M.L. Carr","1973","KCO","76","76","Guilford College","9","604","14216","5853","2595","1112",".470",".256",".746","23.5","9.7","4.3","1.8","29.0",".098","0.3","8.4"
"Clinton Harris","1973","PHO","77","77","Iowa State","","","","","","","","","","","","","","","","",""
"Henry Wilmore","1973","DET","78","78","Michigan","","","","","","","","","","","","","","","","",""
"Dave Winfield","1973","ATL","79","79","Minnesota","","","","","","","","","","","","","","","","",""
"Nate Stephens","1973","GSW","80","80","Cal State Long Beach","","","","","","","","","","","","","","","","",""
"Ray Simpson","1973","CHI","81","81","Furman University","","","","","","","","","","","","","","","","",""
"Danny Traylor","1973","CAP","82","82","South Carolina","","","","","","","","","","","","","","","","",""
"Dennis Bell","1973","NYK","83","83","Drake University","3","63","545","175","119","28",".374","",".535","8.7","2.8","1.9","0.4","0.1",".011","-2.5","-0.1"
"Kresimir Cosic","1973","LAL","84","84","BYU","","","","","","","","","","","","","","","","",""
"Larry Jackson","1973","MIL","85","85","Northern Illinois","","","","","","","","","","","","","","","","",""
"Byron Jones","1973","BOS","86","86","San Francisco","","","","","","","","","","","","","","","","",""
"Sterling Wright","1973","PHI","87","87","Lincoln University (PA)","","","","","","","","","","","","","","","","",""
"Mike Macaluso","1973","BUF","88","88","Canisius","1","30","112","48","25","3",".432","",".588","3.7","1.6","0.8","0.1","0.0","-.001","-5.5","-0.1"
"Neal Jurgensen","1973","POR","89","89","Oregon State","","","","","","","","","","","","","","","","",""
"Bill McCoy","1973","SEA","90","90","University of Northern Iowa","","","","","","","","","","","","","","","","",""
"Willie Calvert","1973","CLE","91","91","Abilene Christian University","","","","","","","","","","","","","","","","",""
"Tom Peck","1973","HOU","92","92","University of Wisconsin-Eau Claire","","","","","","","","","","","","","","","","",""
"Mike Quick","1973","KCO","93","93","San Francisco","","","","","","","","","","","","","","","","",""
"Gene Doyle","1973","PHO","94","94","Holy Cross","","","","","","","","","","","","","","","","",""
"Dennis Johnson","1973","DET","95","95","Ferris State University","","","","","","","","","","","","","","","","",""
"John Williamson","1973","ATL","96","96","New Mexico State","5","288","9149","5802","722","813",".449",".293",".833","31.8","20.1","2.5","2.8","13.4",".070","-1.4","1.3"
"Bob Lauriski","1973","GSW","97","97","Utah State University","","","","","","","","","","","","","","","","",""
"Johnny Neumann","1973","CHI","98","98","Ole Miss","2","83","1153","464","86","168",".406","",".686","13.9","5.6","1.0","2.0","-0.1","-.006","-4.9","-0.8"
"Mike Allocco","1973","CAP","99","99","Stonehill College","","","","","","","","","","","","","","","","",""
"Lawrence Lilly","1973","NYK","100","100","Alabama State University","","","","","","","","","","","","","","","","",""
"James Floyd","1973","MIL","101","101","Shaw","","","","","","","","","","","","","","","","",""
"David Brent","1973","LAL","102","102","Jacksonville University","","","","","","","","","","","","","","","","",""
"Joe Cafferky","1973","BOS","103","103","NC State","","","","","","","","","","","","","","","","",""
"James Greene","1973","PHI","104","104","Kentucky Wesleyan College","","","","","","","","","","","","","","","","",""
"Larry Hollyfield","1973","POR","105","105","UCLA","","","","","","","","","","","","","","","","",""
"Tim Bassett","1973","BUF","106","106","Georgia","4","235","5588","1390","1496","285",".388","",".595","23.8","5.9","6.4","1.2","4.1",".036","-2.9","-1.2"
"Jim Andrews","1973","SEA","107","107","Kentucky","","","","","","","","","","","","","","","","",""
"Larry Farmer","1973","CLE","108","108","UCLA","","","","","","","","","","","","","","","","",""
"Fred DeVaughn","1973","HOU","109","109","Westmont College","","","","","","","","","","","","","","","","",""
"Mike Jeffries","1973","KCO","110","110","Missouri","","","","","","","","","","","","","","","","",""
"Jerry Bisbano","1973","PHO","111","111","LA-Lafayette","","","","","","","","","","","","","","","","",""
"Fred Smiley","1973","DET","112","112","Northwood University","","","","","","","","","","","","","","","","",""
"Pete Harris","1973","ATL","113","113","Stephen F. Austin","","","","","","","","","","","","","","","","",""
"Steve Smith","1973","GSW","114","114","Loyola Marymount University","","","","","","","","","","","","","","","","",""
"Billy Harris","1973","CHI","115","115","Northern Illinois","","","","","","","","","","","","","","","","",""
"Rod Hogue","1973","CAP","116","116","Georgia","","","","","","","","","","","","","","","","",""
"Mike Moore","1973","NYK","117","117","Manhattan College","","","","","","","","","","","","","","","","",""
"Nate Hawthorne","1973","LAL","118","118","Southern Illinois","3","162","1991","882","333","108",".421","",".660","12.3","5.4","2.1","0.7","1.7",".041","-3.4","-0.7"
"Eddie Childress","1973","MIL","119","119","Austin Peay State University","","","","","","","","","","","","","","","","",""
"Mike Stewart","1973","BOS","120","120","Santa Clara","","","","","","","","","","","","","","","","",""
"Dave Langston","1973","PHI","121","121","Drake University","","","","","","","","","","","","","","","","",""
"Carl Jackson","1973","BUF","122","122","St. Bonaventure","","","","","","","","","","","","","","","","",""
"Lendell Resson","1973","POR","123","123","Eastern Michigan","","","","","","","","","","","","","","","","",""
"Wardell Jeffries","1973","SEA","124","124","Oklahoma Baptist University","","","","","","","","","","","","","","","","",""
"John Ritter","1973","CLE","125","125","Indiana","","","","","","","","","","","","","","","","",""
"John Thomas","1973","HOU","126","126","Missouri Southern State","","","","","","","","","","","","","","","","",""
"Mike Williams","1973","KCO","127","127","Kentucky Wesleyan College","","","","","","","","","","","","","","","","",""
"Jim Owens","1973","PHO","128","128","Arizona State","2","58","533","177","52","64",".418","",".767","9.2","3.1","0.9","1.1","0.4",".038","-2.6","0.0"
"Ben Kelso","1973","DET","129","129","Central Michigan University","1","46","298","85","31","18",".365","",".682","6.5","1.8","0.7","0.4","0.0",".000","-4.9","-0.2"
"Tim Dominey","1973","ATL","130","130","Valdosta State University","","","","","","","","","","","","","","","","",""
"Jeff Dawson","1973","GSW","131","131","Illinois","","","","","","","","","","","","","","","","",""
"J. G. Brosterhos","1973","CHI","132","132","Texas","","","","","","","","","","","","","","","","",""
"Mark Jellison","1973","CAP","133","133","Northeastern University","","","","","","","","","","","","","","","","",""
"Steve Rowell","1973","NYK","134","134","Rhode Island","","","","","","","","","","","","","","","","",""
"Walt McGrary","1973","MIL","135","135","Chattanooga","","","","","","","","","","","","","","","","",""
"Roy McPipe","1973","LAL","136","136","Montana State University, Billings","","","","","","","","","","","","","","","","",""
"Robert White","1973","BOS","137","137","Sam Houston State University","","","","","","","","","","","","","","","","",""
"Harvey Catchings","1973","PHI","138","138","Hardin-Simmons University","11","725","13182","2335","3639","608",".435",".000",".647","18.2","3.2","5.0","0.8","21.2",".077","-0.8","4.1"
"Mike Contreras","1973","POR","139","139","Arizona State","","","","","","","","","","","","","","","","",""
"Bob Fullerton","1973","BUF","140","140","Xavier","","","","","","","","","","","","","","","","",""
"Greg Williams","1973","SEA","141","141","Seattle University","","","","","","","","","","","","","","","","",""
"Les Taylor","1973","CLE","142","142","Murray State","","","","","","","","","","","","","","","","",""
"James Brown","1973","KCO","143","143","Dartmouth College","","","","","","","","","","","","","","","","",""
"Sandy Smith","1973","PHO","144","144","Winston-Salem State","","","","","","","","","","","","","","","","",""
"Bill Kelgore","1973","DET","145","145","Michigan State","","","","","","","","","","","","","","","","",""
"Everett Fopma","1973","GSW","146","146","Idaho State University","","","","","","","","","","","","","","","","",""
"Rubin Montanez","1973","CHI","147","147","Duquesne","","","","","","","","","","","","","","","","",""
"Mike Boylan","1973","CAP","148","148","Assumption College","","","","","","","","","","","","","","","","",""
"Joe Wise","1973","NYK","149","149","Bridgewater State College","","","","","","","","","","","","","","","","",""
