"year_p_name","year_p_year","year_p_Tm","year_p_Pk","year_p_Rk","year_p_college","year_p_Yrs","year_p_G","year_p_MP","year_p_PTS","year_p_TRB","year_p_AST","year_p_FG","year_p__3P","year_p_FT","year_p_MP_PG","year_p_PTS_PG","year_p_TRB_PG","year_p_AST_PG","year_p_WS_ADV","year_p_WS48_ADV","year_p_BPM_ADV","year_p_VORP_ADV"
"Hal Haskins","1950","MNL","","18","Hamline University","","","","","","","","","","","","","","","","",""
"Herb Scherer","1950","NYK","","19","Long Island University","2","32","167","115","76","23",".289","",".592","13.9","3.6","2.4","0.7","-0.4","-.092","",""
"Ed Dahler","1950","PHW","","20","Duquesne","1","14","112","35","22","5",".368","","1.000","8.0","2.5","1.6","0.4","0.1",".036","",""
"George Stanich","1950","ROC","","21","UCLA","","","","","","","","","","","","","","","","",""
"Gerry Calabrese","1950","SYR","","22","St. John's","2","104","937","492","149","148",".348","",".702","16.2","4.7","1.4","1.4","1.9",".046","",""
"Ed Gayda","1950","TRI","","23","Washington State","1","15","","56","39","13",".413","",".750","","3.7","2.6","0.9","0.6","","",""
"Bill Sharman","1950","WSC","","24","USC","11","711","21793","12665","2793","2101",".426","",".883","32.0","17.8","3.9","3.0","82.8",".178","",""
"Dick Dickey","1950","BLB","","25","NC State","1","45","440","127","81","50",".294","",".681","9.8","2.8","1.8","1.1","0.3",".028","",""
"Bob Donham","1950","BOS","","26","Ohio State","4","273","4866","1818","1071","706",".480","",".507","23.7","6.7","3.9","2.6","18.0",".132","",""
"Lou Watson","1950","CHS","","27","Indiana","","","","","","","","","","","","","","","","",""
"Art Burris","1950","FTW","","28","Tennessee","2","74","514","187","205","54",".260","",".627","12.5","2.5","2.8","0.7","-1.0","-.073","",""
"Chuck Mrazovich","1950","INO","","29","Eastern Kentucky University","1","25","","85","40","13",".350","",".604","","3.4","1.6","0.5","0.4","","",""
"Howie Williams","1950","MNL","","30","Purdue","","","","","","","","","","","","","","","","",""
"Stan Weber","1950","NYK","","31","Bowling Green","","","","","","","","","","","","","","","","",""
"Buddy Cate","1950","PHW","","32","Western Kentucky","","","","","","","","","","","","","","","","",""
"Bob Roper","1950","ROC","","33","John Carroll University","","","","","","","","","","","","","","","","",""
"Stan Christie","1950","SYR","","34","USC","","","","","","","","","","","","","","","","",""
"Clarence Brannum","1950","TRI","","35","Kansas State","","","","","","","","","","","","","","","","",""
"Alan Sawyer","1950","WSC","","36","UCLA","1","33","","217","121","25",".370","",".860","","6.6","3.7","0.8","0.9","","",""
"Jerry Reed","1950","BLB","","37","Wyoming","","","","","","","","","","","","","","","","",""
"Ken Reeves","1950","BOS","","38","Louisville","","","","","","","","","","","","","","","","",""
"Ken Murray","1950","CHS","","39","St. Bonaventure","3","181","2118","1471","599","482",".335","",".747","18.4","8.1","3.3","2.7","-0.7","-.016","",""
"Len Rzewszewski","1950","FTW","","40","Indiana State University","","","","","","","","","","","","","","","","",""
"Jim Line","1950","INO","","41","Kentucky","","","","","","","","","","","","","","","","",""
"Bud Grant","1950","MNL","","42","Minnesota","2","96","","249","115","90",".318","",".590","","2.6","1.9","0.9","1.1","","",""
"Joe Ossola","1950","NYK","","43","Saint Louis","","","","","","","","","","","","","","","","",""
"Paul Sensky","1950","PHW","","44","Saint Joseph's","","","","","","","","","","","","","","","","",""
"Chet Giermak","1950","ROC","","45","William & Mary","","","","","","","","","","","","","","","","",""
"Paul Merchant","1950","SYR","","46","Oklahoma","","","","","","","","","","","","","","","","",""
"Paul Hicks","1950","TRI","","47","Eastern Kentucky University","","","","","","","","","","","","","","","","",""
"Tommy O'Keefe","1950","WSC","","48","Georgetown","1","6","","23","7","10",".357","",".750","","3.8","1.2","1.7","0.1","","",""
"Norm Mager","1950","BLB","","49","City College of New York","1","24","","124","47","23",".282","",".786","","5.2","2.0","1.0","0.0","","",""
"Jack Shelton","1950","BOS","","50","Oklahoma State","","","","","","","","","","","","","","","","",""
"Don Stroot","1950","CHS","","51","Missouri","","","","","","","","","","","","","","","","",""
"Ed Thompson","1950","FTW","","52","Kent State University","","","","","","","","","","","","","","","","",""
"Sonny Allen","1950","INO","","53","Morehead State University","","","","","","","","","","","","","","","","",""
"Ed Beach","1950","MNL","","54","West Virginia","1","12","","22","25","3",".211","",".667","","1.8","2.1","0.3","-0.3","","",""
"Dick Barnes","1950","NYK","","55","San Diego State","","","","","","","","","","","","","","","","",""
"Ike Borsavage","1950","PHW","","56","Temple","1","24","","64","24","4",".351","",".667","","2.7","1.0","0.2","0.1","","",""
"Joe Nelson","1950","ROC","","57","BYU","","","","","","","","","","","","","","","","",""
"Paul Hickey","1950","SYR","","58","Denver","","","","","","","","","","","","","","","","",""
"Cal Christensen","1950","TRI","","59","Toledo","5","291","4009","1507","1587","460",".330","",".606","17.9","5.2","5.5","1.6","8.2",".060","",""
"Claude Overton","1950","WSC","","60","East Central University","1","15","182","58","25","15",".253","",".667","12.1","3.9","1.7","1.0","-0.4","-.115","",""
"Rick Harman","1950","BLB","","61","Kansas State","","","","","","","","","","","","","","","","",""
"Mo Mahoney","1950","BOS","","62","Brown University","2","8","45","12","9","2",".333","",".800","5.6","1.5","1.1","0.3","0.0",".034","",""
"Stu Inman","1950","CHS","","63","San Jose State","","","","","","","","","","","","","","","","",""
"Bob Metcalf","1950","FTW","","64","Valparaiso","","","","","","","","","","","","","","","","",""
"Ralph O'Brien","1950","INO","","65","Butler","2","119","2335","848","192","180",".360","",".830","19.6","7.1","1.6","1.5","3.1",".064","",""
"Wayne Glasgow","1950","MNL","","66","Oklahoma","","","","","","","","","","","","","","","","",""
"Don Parsons","1950","NYK","","67","Rutgers University","","","","","","","","","","","","","","","","",""
"Dick Dallmer","1950","PHW","","68","Cincinnati","","","","","","","","","","","","","","","","",""
"John Givens","1950","ROC","","69","Western Kentucky","","","","","","","","","","","","","","","","",""
"Mack Suprunowicz","1950","SYR","","70","Michigan","","","","","","","","","","","","","","","","",""
